coin,date,price,market_cap_billion,total_volume_billion,daily_pct_change
bitcoin,2024-03-03,61070.96659078329,1199.611768787363,268.79274983098173,1.799314974649322
bitcoin,2024-03-10,66492.19135477122,1305.3497540038454,404.7759381154239,1.4911321105208002
bitcoin,2024-03-17,70283.03838678554,1381.3434514832566,413.3629680174721,-0.63212264990893
bitcoin,2024-03-24,65630.96550800616,1290.3113246155754,365.62922276199396,-0.08118932221524743
bitcoin,2024-03-31,69585.61282219885,1366.715474531455,223.26703798526933,1.1855763898405163
bitcoin,2024-04-07,68302.66736384692,1344.2346806969235,228.25327948493515,-0.09694691453358148
bitcoin,2024-04-14,68925.18384591375,1356.8759805282039,248.71895312782493,-0.9402324201984931
bitcoin,2024-04-21,63796.78013410426,1256.1265899138639,271.10128426224736,0.14121601064056272
bitcoin,2024-04-28,64895.76004759669,1277.6612989630319,168.7107250711429,-0.2915755841950553
bitcoin,2024-05-05,61667.16077420898,1215.6319084175957,216.42356186218294,0.12839830006420463
bitcoin,2024-05-12,62224.97713142481,1224.963965372727,138.20829587579885,-0.6767345491095746
bitcoin,2024-05-19,64486.01290106158,1270.8235306808765,168.00771183816994,1.427277796692028
bitcoin,2024-05-26,68966.98195293915,1358.089905489743,200.45321915193304,0.5440313172739631
bitcoin,2024-06-02,68188.82077660148,1343.8519061385912,141.5801007361507,-0.31949602765562063
bitcoin,2024-06-09,69676.13941290947,1372.8401279246825,163.0197781457436,0.3461347413355021
bitcoin,2024-06-16,67657.55622013124,1334.046507783431,175.43226171066942,-0.645969757037352
bitcoin,2024-06-23,65178.35977300424,1284.7266221139184,162.16399859420886,-0.4228442153908829
bitcoin,2024-06-30,61264.15541295319,1208.0841149666574,151.48859369113333,-0.7435990930350632
bitcoin,2024-07-07,60000.14043421282,1183.0147968299989,215.88316613665248,-0.5938543166321077
bitcoin,2024-07-14,57525.46035475335,1134.632661179569,187.69437595236735,0.24591768726578106
bitcoin,2024-07-21,64704.50715581734,1276.577832690818,213.80363820211025,1.872921038451203
bitcoin,2024-07-28,66966.78206470441,1321.1288320384685,232.6520436661703,0.1937166607895478
bitcoin,2024-08-04,64773.56686301883,1277.8539889883743,230.80151486739268,-1.5882012616075833
bitcoin,2024-08-11,58097.37000893608,1146.2560648066753,344.56117000667285,0.19886628576047347
bitcoin,2024-08-18,59061.65145533332,1165.5706144510373,197.48070634586412,-0.3202189538077573
bitcoin,2024-08-25,60973.20573389734,1203.5221750242029,201.35716055583433,1.1334801170903828
