coin,date,price,market_cap,total_volume,daily_pct_change
bitcoin,2024-02-28 00:00:00,57003.52673730811,1118963733317.3013,51983799587.1939,
bitcoin,2024-02-29 00:00:00,62558.58202419311,1225273849241.6978,87218855804.01622,9.745108074601427
bitcoin,2024-03-01 00:00:00,61298.216861101624,1206725326872.1362,67692687247.36391,-2.0146958615591126
bitcoin,2024-03-02 00:00:00,62426.64052919186,1227712629022.1812,36699193361.155365,1.8408751932330825
bitcoin,2024-03-03 00:00:00,62067.86680212177,1219383305483.4985,25198213831.25236,-0.5747125330287872
bitcoin,2024-03-04 00:00:00,63053.10543906421,1236312176673.4497,27108369390.44353,1.5873570137080462
bitcoin,2024-03-05 00:00:00,68186.64593432152,1333913436699.1726,74551714626.1156,8.141614056136337
bitcoin,2024-03-06 00:00:00,64291.536557569496,1264870242318.5977,96403762012.66058,-5.712422606185763
bitcoin,2024-03-07 00:00:00,66145.91927850846,1297845751759.601,73151905042.04068,2.884334113368814
bitcoin,2024-03-08 00:00:00,66944.87639053575,1317508010581.0813,48853892626.0196,1.2078705999432282
bitcoin,2024-03-09 00:00:00,68315.25192078314,1340971395884.519,63346588227.32869,2.0470207790855177
bitcoin,2024-03-10 00:00:00,68508.0039626159,1346027264110.4956,21359706190.81524,0.2821508175894216
bitcoin,2024-03-11 00:00:00,69075.66688195744,1357390358031.5388,36660543917.16198,0.8286081720485061
bitcoin,2024-03-12 00:00:00,72130.55300765681,1417772589113.9521,66653067165.93465,4.42252136475183
bitcoin,2024-03-13 00:00:00,71467.17350326062,1403692914139.1924,64599341551.27301,-0.9196928024741036
bitcoin,2024-03-14 00:00:00,73097.76702694128,1436631290571.5388,51906601043.53671,2.2815978913819146
bitcoin,2024-03-15 00:00:00,71420.03180142345,1403843488135.24,63073551321.74747,-2.2951935384010747
bitcoin,2024-03-16 00:00:00,69497.7631929463,1367669237527.8738,81204427005.22603,-2.6914978332995387
bitcoin,2024-03-17 00:00:00,65292.31329331289,1282404282863.459,49265436012.59228,-6.051201803370043
bitcoin,2024-03-18 00:00:00,68425.41565643054,1344508983079.8567,47190980586.56393,4.798577665708992
bitcoin,2024-03-19 00:00:00,67708.94360930806,1331771923948.0378,51101822566.75771,-1.0470846837379089
bitcoin,2024-03-20 00:00:00,62132.51737873437,1223867418062.399,80179417876.47993,-8.235878354195869
bitcoin,2024-03-21 00:00:00,67819.05570684028,1332594162507.5205,70836803714.91411,9.152274152104777
bitcoin,2024-03-22 00:00:00,65535.97844847657,1287348061971.4202,48393664548.05336,-3.3664244283092337
bitcoin,2024-03-23 00:00:00,63509.04496523133,1247366367469.2778,42436600223.53738,-3.0928560635419267
bitcoin,2024-03-24 00:00:00,64285.80279102199,1264722355270.5166,25489933245.687557,1.223066456464439
bitcoin,2024-03-25 00:00:00,67310.98326810106,1323456466317.511,28098318940.431744,4.705829818930973
bitcoin,2024-03-26 00:00:00,69938.94530200244,1371797489739.3416,44820310272.647514,3.9042098425960514
bitcoin,2024-03-27 00:00:00,70082.05122475982,1375728580463.2524,36257324508.56845,0.20461550019010843
bitcoin,2024-03-28 00:00:00,69435.75040305211,1360261687784.1018,41441040887.822266,-0.92220591494242
